Name,StateDistrict,Party,Region,ctthirdread_17791780,ct_18101811,forcebill_1903,landbillsenateamends_19201921
"Clay, Clement C. (J)",AL-1,1,3,1.0,1.0,0.0,0.0
"Mardis, Samuel W. (J)",AL-2,1,3,1.0,1.0,0.0,0.0
"Lewis, Dixon H. (J)",AL-3,1,3,1.0,1.0,0.0,0.0
"Clayton, Augustin S. (J), from January 21, 1832",GA-At Large,1,3,1.0,1.0,0.0,NA
"Foster, Thomas F. (J)",GA-At Large,1,3,NA,1.0,0.0,NA
"Lamar, Henry G. (J)",GA-At Large,1,3,1.0,1.0,0.0,NA
"Newnan, Daniel (J)",GA-At Large,1,3,NA,1.0,0.0,NA
"Thompson, Wiley (J)",GA-At Large,1,3,1.0,1.0,0.0,0.0
"Wayne, James M. (J)",GA-At Large,1,3,1.0,1.0,1.0,NA
"Wilde, Richard Henry (J)",GA-At Large,1,3,NA,NA,0.0,NA
"Duncan, Joseph (J)",IL-At Large,1,4,NA,1.0,NA,0.0
"Boon, Ratliff (J)",IN-1,1,4,1.0,1.0,NA,0.0
"Carr, John (J)",IN-2,1,4,1.0,1.0,1.0,0.0
"McCarty, Johnathan (J)",IN-3,1,4,0.0,0.0,1.0,1.0
"Daniel, Henry (J)",KY-1,1,4,1.0,1.0,0.0,1.0
"Hawes, Albert G. (J)",KY-11,1,4,1.0,1.0,0.0,NA
"Lyon, Chittenden (J)",KY-12,1,4,1.0,1.0,1.0,0.0
"Johnson, Richard M. (J)",KY-5,1,4,1.0,1.0,1.0,0.0
"Lecompte, Joseph (J)",KY-6,1,4,1.0,1.0,1.0,0.0
"Adair, John (J)",KY-7,1,4,NA,1.0,NA,NA
"Gaither, Nathan (J)",KY-8,1,4,1.0,1.0,0.0,NA
"Wickliffe, Charles A. (J)",KY-9,1,4,1.0,1.0,0.0,1.0
"Thomas, Francis (J)",MD-4,1,2,1.0,1.0,1.0,NA
"Howard, Benjamin C. (J)",MD-5A,1,2,1.0,1.0,1.0,NA
"Worthington, John T. H. (J)",MD-5B,1,2,1.0,1.0,1.0,0.0
"Sewall, Charles S. (J)",MD-6,1,2,1.0,1.0,1.0,0.0
"McIntire, Rufus (J)",ME-1,1,1,1.0,1.0,1.0,0.0
"Anderson, John (J)",ME-2,1,1,1.0,1.0,1.0,NA
"Kavanagh, Edward (J)",ME-3,1,1,1.0,1.0,1.0,1.0
"Holland, Cornelius (J)",ME-5,1,1,1.0,1.0,1.0,NA
"Jarvis, Leonard (J)",ME-6,1,1,1.0,1.0,1.0,0.0
"Bates, James (J)",ME-7,1,1,1.0,1.0,1.0,NA
"Plummer, Franklin E. (J)",MS-At Large,1,4,1.0,1.0,0.0,0.0
"Rencher, Abraham (J)",NC-10,1,3,1.0,1.0,0.0,NA
"Connor, Henry W. (J)",NC-11,1,3,1.0,1.0,0.0,NA
"Carson, Samuel P. (J)",NC-12,1,3,NA,1.0,0.0,NA
"Branch, John (J)",NC-2,1,3,1.0,1.0,NA,NA
"Hall, Thomas H. (J)",NC-3,1,3,1.0,1.0,0.0,NA
"Speight, Jesse (J)",NC-4,1,3,1.0,1.0,1.0,NA
"McKay, James I. (J)",NC-5,1,3,1.0,1.0,1.0,0.0
"Hawkins, Micajah T. (J)",NC-6,1,3,1.0,1.0,1.0,0.0
"Bethune, Lauchlin (J)",NC-7,1,3,1.0,1.0,1.0,0.0
"Barringer, Daniel L. (J)",NC-8,1,3,1.0,1.0,1.0,1.0
"Shepperd, Augustine H. (J)",NC-9,1,3,1.0,NA,1.0,1.0
"Brodhead, John (J)",NH-At Large,1,1,0.0,1.0,1.0,NA
"Chandler, Thomas (J)",NH-At Large,1,1,0.0,0.0,1.0,NA
"Hammons, Joseph (J)",NH-At Large,1,1,NA,NA,NA,NA
"Harper, Joseph M. (J)",NH-At Large,1,1,1.0,1.0,1.0,NA
"Hubbard, Henry (J)",NH-At Large,1,1,1.0,1.0,1.0,NA
"Weeks, John W. (J)",NH-At Large,1,1,1.0,1.0,0.0,NA
"Lent, James (J), until February 22, 1833, vacant thereafter",NY-1,1,2,NA,NA,NA,NA
"Lansing, Gerrit Y. (J)",NY-10,1,2,1.0,1.0,1.0,NA
"Root, Erastus (J)",NY-11,1,2,1.0,1.0,0.0,1.0
"Bouck, Joseph (J)",NY-12,1,2,1.0,1.0,1.0,NA
"Angel, William G. (J)",NY-13,1,2,1.0,1.0,NA,NA
"Beardsley, Samuel (J)",NY-14,1,2,0.0,0.0,1.0,1.0
"Hoffman, Michael (J)",NY-15,1,2,1.0,1.0,1.0,NA
"Soule, Nathan (J)",NY-16,1,2,0.0,NA,1.0,NA
"Pitcher, Nathaniel (J)",NY-18,1,2,NA,0.0,1.0,1.0
"Hogan, William (J)",NY-19,1,2,NA,0.0,1.0,1.0
"Bergen, John T. (J)",NY-2,1,2,1.0,1.0,1.0,NA
"Dayan, Charles (J)",NY-20A,1,2,0.0,0.0,NA,NA
"Wardwell, Daniel (J)",NY-20B,1,2,0.0,0.0,1.0,1.0
